"Entidad","Nit Entidad","Departamento Entidad","Ciudad Entidad","OrdenEntidad","Entidad Centralizada","ID del Proceso","Referencia del Proceso","PCI","ID del Portafolio","Nombre del Procedimiento","Descripción del Procedimiento","Fase","Fecha de Publicacion del Proceso","Fecha de Ultima Publicación","Fecha de Publicacion (Fase Planeacion Precalificacion)","Fecha de Publicacion (Fase Seleccion Precalificacion)","Fecha de Publicacion (Manifestacion de Interes)","Fecha de Publicacion (Fase Borrador)","Fecha de Publicacion (Fase Seleccion)","Precio Base","Modalidad de Contratacion","Justificación Modalidad de Contratación","Duracion","Unidad de Duracion","Fecha de Recepcion de Respuestas","Fecha de Apertura de Respuesta","Fecha de Apertura Efectiva","Ciudad de la Unidad de Contratación","Nombre de la Unidad de Contratación","Proveedores Invitados","Proveedores con Invitacion Directa","Visualizaciones del Procedimiento","Proveedores que Manifestaron Interes","Respuestas al Procedimiento","Respuestas Externas","Conteo de Respuestas a Ofertas","Proveedores Unicos con Respuestas","Numero de Lotes","Estado del Procedimiento","ID Estado del Procedimiento","Adjudicado","ID Adjudicacion","CodigoProveedor","Departamento Proveedor","Ciudad Proveedor","Fecha Adjudicacion","Valor Total Adjudicacion","Nombre del Adjudicador","Nombre del Proveedor Adjudicado","NIT del Proveedor Adjudicado","Codigo Principal de Categoria","Estado de Apertura del Proceso","Tipo de Contrato","Subtipo de Contrato","Categorias Adicionales","URLProceso","Codigo Entidad"
"CAJA DE SUELDOS DE RETIRO DE LA POLICIA NACIONAL","899999073","Distrito Capital de Bogotá","Bogotá","Nacional","Descentralizada","CO1.REQ.2421740","CDR-AR279-21","701177164","CO1.BDOS.2354656","ARRENDAMIENTO DE AREAS FISICAS EN LA CAJA DE LA CAJA DE SUELDOS DE RETIRO DE LA POLICÍA NACIONAL (LOCALES COMERCIALES)","ARRENDAMIENTO DE AREAS FISICAS EN LA CAJA DE LA CAJA DE SUELDOS DE RETIRO DE LA POLICÍA NACIONAL (LOCALES COMERCIALES)",,,,,,,,,"$0","Contratación directa","Arrendamiento de inmuebles","12","Mes(es)",,,,"Bogotá","GRUPO DE ADQUISICIONES","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80131502","Abierto","Arrendamiento de inmuebles","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","701,177,164"
"ALCALDÍA LOCAL DE SUBA","899999061","Distrito Capital de Bogotá","Bogotá","Territorial","Centralizada","CO1.REQ.6785749","FDLSUBA-CD-517-2024(114292)","702230251","CO1.BDOS.6658732","Prestar servicios profesionales en temas de tecnología y/o sistemas en el levantamiento y análisis de requisitos; desarrollo; documentación; pruebas y puesta en marcha de los sistemas de información y","Prestar servicios profesionales en temas de tecnología y/o sistemas en el levantamiento y análisis de requisitos, desarrollo, documentación, pruebas y puesta en marcha de los sistemas de información y la gestión de la información de la alcaldía local de suba.",,,,,,,,,"$29,792,000","Contratación directa","Servicios profesionales y apoyo a la gestión","4","Mes(es)",,,,"No Aplica","FONDO DESARROLLO LOCAL SUBA","0","0","0","0","0","0","0","0","0","Aprobado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111700","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","702,230,251"
"HOSPITAL REGIONAL JOSE DAVID PADILLA VILLAFAÑE ESE DE AGUACHICA","892300445","Cesar","Aguachica","Territorial","Centralizada","CO1.REQ.4428417","073-2023","704920883","CO1.BDOS.4328409","PROCESOS ASISTENCIALES DE LAS ESPECIALIDADES DE ANESTESIOLOGÍA Y CIRUGÍA GENERAL","CONTRATAR LA EJECUCIÓN DE LOS PROCESOS ASISTENCIALES DE LAS ESPECIALIDADES DE ANESTESIOLOGÍA Y CIRUGÍA GENERAL, EN LAS UNIDADES FUNCIONALES PARA LA ATENCIÓN EN SALUD DE LOS USUARIOS DEL HOSPITAL REGIONAL JOSÉ DAVID PADILLA VILLAFAÑE EMPRESA SOCIAL DEL ESTADO.",,,,,,,,,"$1,719,562,692","Contratación régimen especial","Decreto 092 de 2017","6","Mes(es)",,,,"Aguachica","HOSPITAL JOSE DAVID PADILLA VILLAFAÑE","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85101600","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","704,920,883"
"MUNICIPIO DE ARMENIA QUINDIO","890000464","Quindío","Armenia","Territorial","Centralizada","CO1.REQ.5194922","DAJ-SMIC-041-2023_2","701365033","CO1.BDOS.5063010","DAJ-SMIC-041-2023_2","REALIZAR OBRAS DE ADECUACIONES ELECTRICAS INTERNAS PARA USO FINAL EN EL INMUEBLE DENOMINADO CENTRO COMERCIAL ARMENIA",,,,,,,,,"$73,870,773","Mínima cuantía","Presupuesto inferior al 10% de la menor cuantía","1","Mes(es)","10/23/2023","10/23/2023",,"No Aplica","SUBDIRECCION - DEPARTAMENTO ADMINISTRATIVO JURIDICO","0","0","9","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.72151500","Cerrado","Obra","No Definido","V139122200, V139122300, V172101500, V172102900","https://community.secop.gov.co/STS/Users/Login/Index","701,365,033"
"HOSPITAL FRANCISCO DE PAULA SANTANDER EMPRESA SOCIAL DEL ESTADO","891500084","Cauca","Santander De Quilichao","Territorial","Centralizada","CO1.REQ.5466441","2023-AD-1230","704096098","CO1.BDOS.5348213","PRESTAR LOS SERVICIOS ESPECIALIZADOS EN FONOAUDIOLOGIA.","PRESTAR LOS SERVICIOS ESPECIALIZADOS EN FONOAUDIOLOGIA.",,,,,,,,,"$2,222,000","Contratación régimen especial","Decreto 092 de 2017","11","día(s)",,,,"No Aplica","JURIDICO","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85122108","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","704,096,098"
"CORPORACION AUTONOMA REGIONAL DE SANTANDER+","804000292","Santander","San Gil","Nacional","Centralizada","CO1.REQ.4339499","CPS-00611-2023","711192211","CO1.BDOS.4240668","PROFESIONAL - SAO","BRINDAR LOS SERVICIOS PROFESIONALES EN LA SUBDIRECCION DE OFERTA, DE LA CAS, COMO ABOGADO PARA APOYAR LOS DIFERENTES TRAMITES AMBIENTALES, ACCIONES CONSTITUCIONALES Y LAS DEMAS QUE LE SEAN ASIGNADOS",,,,,,,,,"$8,296,820","Contratación directa","Servicios profesionales y apoyo a la gestión","75","día(s)",,,,"San Gil","Corporación Autónoma Regional de Santander - CAS -","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","711,192,211"
"DEPARTAMENTO DE POLICÍA CUNDINAMARCA","800140611","Distrito Capital de Bogotá","No Definido","Nacional","Descentralizada","CO1.REQ.9886877","PN DECUN SIP 005 2026","701707325","CO1.BDOS.9719233","ARRENDAMIENTO DE UN ESPACIO FÍSICO CON UN ÁREA DE 151.71 M2 PARA EL FUNCIONAMIENTO DEL RESTAURANTE Y CAFETERÍA UBICADO DENTRO DE LAS INSTALACIONES DE LA BASE DE DEPARTAMENTO DE POLICÍA CUNDINAMARCA","ARRENDAMIENTO DE UN ESPACIO FÍSICO CON UN ÁREA DE 151.71 M² PARA EL FUNCIONAMIENTO DEL RESTAURANTE Y CAFETERÍA UBICADO DENTRO DE LAS INSTALACIONES DE LA BASE DEL DEPARTAMENTO DE POLICÍA CUNDINAMARCA",,,,,,,,,"$0","Solicitud de información a los Proveedores","No Defenido","360","día(s)","01/26/2026",,,"Bogotá","CONTRATOS","511","1","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80131500","Abierto","No Especificado","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","701,707,325"
"PNNC-NC","830016624","Distrito Capital de Bogotá","No Definido","Nacional","Centralizada","CO1.REQ.4340124","CD-NC-230-2023","700834104","CO1.BDOS.4241115","CD-NC-230-2023","Prestar servicios profesionales para la implementación de los requisitos asociados a las políticas de gestión y desempeño institucional del Modelo Integrado de Planeación y Gestión - MIPG, acorde con las prioridades estratégicas definidas en el Plan Nacional de Desarrollo 2022-2026 y la articulación con el Sistema de Gestión Integrado de Parques Nacionales Naturales de Colombia",,,,,,,,,"$52,830,000","Contratación directa","Servicios profesionales y apoyo a la gestión","270","día(s)",,,,"Bogotá","GRUPO DE CONTRATOS","0","0","0","0","0","0","0","0","0","En aprobación","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","V180101504","https://community.secop.gov.co/STS/Users/Login/Index","700,834,104"
"HOSPITAL REGIONAL JOSE DAVID PADILLA VILLAFAÑE ESE DE AGUACHICA","892300445","Cesar","Aguachica","Territorial","Centralizada","CO1.REQ.4321003","020-2023","704920883","CO1.BDOS.4222316","MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS AMBULANCIAS","LA PRESTACIÓN DE SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS AMBULANCIAS DEL HOSPITAL REGIONAL JOSÉ DAVID PADILLA VILLAFAÑE EMPRESA SOCIAL DEL ESTADO, INCLUYE SUMINISTROS DE REPUESTOS E INSTALACIÓN DE LOS MISMOS.",,,,,,,,,"$25,000,000","Contratación régimen especial","Decreto 092 de 2017","1","Mes(es)",,,,"Aguachica","HOSPITAL JOSE DAVID PADILLA VILLAFAÑE","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.25191700","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","704,920,883"
"ARMADA NACIONAL BASE NAVAL ARC MALAGA","800141658","Valle del Cauca","Buenaventura","Nacional","Centralizada","CO1.REQ.6041128","051-ARC-CBL02-2024","701722258","CO1.BDOS.5853332","APOYO LOGISTICO PARA EL SUMINISTRO DE VÍVERES PARA LAS UNIDADES DE LA ARMADA NACIONAL UBICADAS EN EL PACÍFICO COLOMBIANO","APOYO LOGISTICO PARA EL SUMINISTRO DE VÍVERES PARA LAS UNIDADES DE LA ARMADA NACIONAL UBICADAS EN EL PACÍFICO COLOMBIANO",,,,,,,,,"$231,260,000","Contratación directa","Contratos o convenios Interadministrativos (valor cero)","8","Mes(es)",,,,"Buenaventura","BASE NAVAL ARC  MÁLAGA","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.50101700","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","701,722,258"
"SECRETARIA DISTRITAL DE DESARROLLO ECONOMICO - ALCALDIA BOGOTÁ","8999990619","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.9855262","SDDE-CDPS-0583-2026","702158197","CO1.BDOS.9687698","ANA CAROLINA RESTREPO GUERRERO","8166030 - Prestar los servicios profesionales a la Oficina Asesora de Planeación de la Secretaría Distrital de Desarrollo Económico, para brindar acompañamiento en las actividades de implementación y seguimiento del Sistema de Administración del Riesgo de Lavado de Activos y de la Financiación del Terrorismo (SARLAFT).","Presentación de oferta",,,,,,,,"$30,000,000","Contratación directa","Servicios profesionales y apoyo a la gestión","180","día(s)",,,,"No Aplica","Oficina Asesora Juridica","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9703383","702,158,197"
"INSTITUCIÓN EDUCATIVA EUGENIO PACELLI","890803154","No Definido","No Definido","Nacional","Centralizada","CO1.REQ.3772766","09-2022","706108255","CO1.BDOS.3677206","ADQUISICION POLIZA","No definido",,,,,,,,,"$1,796,620","Contratación régimen especial","Regla aplicable","0","día(s)",,,,"Manizales","FONDO DE SERVICIOS EDUCATIVOS","0","0","0","0","0","0","0","0","0","Aprobado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","UNSPECIFIED","Abierto","Compraventa","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","706,108,255"
"CAJA DE LA VIVIENDA POPULAR//","899999074","Distrito Capital de Bogotá","Bogotá","Territorial","Centralizada","CO1.REQ.9790814","CVP-448-2026","702217399","CO1.BDOS.9623423","DAIYANA RODRIGUEZ MUSA","Prestar servicios profesionales desde el componente financiero para el seguimiento y control a la ejecución de los recursos presupuestales de la Dirección de Reasentamientos, atendiendo lo establecido en los procedimientos adoptados por la Caja de la Vivienda Popular","Presentación de oferta",,,,,,,,"$27,000,000","Contratación directa","Servicios profesionales y apoyo a la gestión","6","Mes(es)",,,,"Bogotá","Procesos de selección","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.84111703","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9709826","702,217,399"
"INSTITUCION ETNOEDUCATIVA RURAL GUAMACHITO","825003249","La Guajira","Hatonuevo","Nacional","Centralizada","CO1.REQ.3566029","CD-002-2022","719496416","CO1.BDOS.3468309","PRESTACION DE SERVICIOS PROFESIONALES","PRESTACIÓN DE SERVICIOS PROFESIONALES ESPECIALIZADOS PARA LOS PROCESOS DE GESTIÓN CONTRACTUAL QUE SE LLEVEN A CABO EN LA INSTITUCIÓN ETNOEDUCATIVA RURAL GUAMACHITO",,,,,,,,,"$3,200,000","Contratación directa","Servicios profesionales y apoyo a la gestión","40","día(s)",,,,"Hatonuevo","Unidad de Contratacion","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80121704","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","719,496,416"
"CORPORACION AUTONOMA REGIONAL DE LA GUAJIRA","892115314","La Guajira","Riohacha","Corporación Autónoma","Centralizada","CO1.REQ.9854575","PS-0030-2026","702134214","CO1.BDOS.9651049","PS-0030-2026","PRESTACIÓN DE SERVICIOS PROFESIONALES ESPECIALIZADOS COMO INGENIERO AMBIENTAL, PARA BRINDAR APOYO DENTRO DE SU COMPETENCIA, A LA GESTIÓN DE LAS ACTIVIDADES DESARROLLADAS POR LA SUBDIRECCIÓN DE AUTORIDAD AMBIENTAL, EN TRÁMITES RELACIONADOS CON LAS EVALUACIONES DEL COMPONENTE ABIÓTICO EN LA SOLICITUDES DE LICENCIAS AMBIENTALES, PERMISOS, CONCESIONES, AUTORIZACIONES, Y OTROS TRÁMITES AMBIENTALES SOLICITADOS, PRINCIPALMENTE EN LO RELACIONADOS CON EL USO, APROVECHAMIENTO DEL RECURSO HÍDRICOS(...)","Presentación de oferta",,,,,,,,"$38,862,000","Contratación directa","Servicios profesionales y apoyo a la gestión","6","Mes(es)",,,,"Riohacha","OFICINA ASESORA JURIDICA","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.77101503","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9711938","702,134,214"
"SERVICIO AEREO A TERRITORIOS NACIONALES S.A.","8999991434","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.9405561","CA 786 2025 1","712019876","CO1.BDOS.9237745","Compra de material aeronáutico","No definido",,,,,,,,,"$459,690","Contratación régimen especial","Regla aplicable","1","Mes(es)",,,,"Bogotá","Dirección Técnica","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.25201500","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","712,019,876"
"MUNICIPIO DE SAN JOSE DE CUCUTA","890501434","Norte de Santander","Cúcuta","Territorial","Centralizada","CO1.REQ.8610033","SEM-CI-004-2025:","700445042","CO1.BDOS.8457325","CONVENIO INTERADMINISTRATIVO","2025B-272 AUNAR ESFUERZOS Y RECURSOS FINANCIEROS CON EL CENTRO TECNOLOGICO DE CÚCUTA PARA IMPLEMENTAR PROCESO DE FORMACIÓN DIPLOMADO DE 80 HORAS EN LA METODOLOGÍA Y PRÁCTICA DE LA ENSEÑANZA DEL INGLÉS DIRIGIDO A LOS DOCENTES DE BÁSICA PRIMARIA ADSCRITOS A LA SECRETARÍA DE EDUCACIÓN DEL MUNICIPIO DE SAN JOSÉ DE CÚCUTA",,,,,,,,,"$174,771,300","Contratación directa","Servicios profesionales y apoyo a la gestión","5","Mes(es)",,,,"No Aplica","SECRETARÍA DE EDUCACIÓN","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.86121700","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,445,042"
"SERVICIO AEREO A TERRITORIOS NACIONALES S.A.","8999991434","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.9149379","CA 991 2024 4","712019876","CO1.BDOS.8985894","COMPRA DE MATERIAL AERONAUTICO","No definido",,,,,,,,,"$3,616,368","Contratación régimen especial","Regla aplicable","2","Mes(es)",,,,"Bogotá","Dirección Técnica","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.15121900","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","712,019,876"
"AUNAP","900479669","No Definido","No Definido","Nacional","Centralizada","CO1.REQ.2601180","CPSP-JORGE ELIECER SIERRA BARRAGAN","700112022","CO1.BDOS.2518278","CPSP-JORGE ELIECER SIERRA BARRAGAN","Prestar servicios profesionales a la Dirección Técnica de Inspección y Vigilancia para apoyar en el seguimiento de la normatividad pesquera continental y marina con el fin de verificar el cumplimiento de lo establecido en el Estatuto General de Pesca en el territorio nacional",,,,,,,,,"$43,050,000","Contratación directa","Servicios profesionales y apoyo a la gestión","315","día(s)",,,,"Bogotá","GRUPO DE CONTRATACION","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,112,022"
"INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL DE BUCARAMANGA","804014968","Santander","Bucaramanga","Territorial","Centralizada","CO1.REQ.9863379","CPS-057-2026","700674062","CO1.BDOS.9662599","PRESTAR SERVICIOS PROFESIONALES PARA APOYAR LOS PROCESOS DE FORMULACIÓN; EJECUCIÓN; Y ACOMPAÑAMIENTO A PROYECTOS; ORIENTADOS A LA IMPLEMENTACIÓN DE ACCIONES Y ESTRATEGIAS QUE PROMUEVAN LA DINAMIZACIÓN","PRESTAR SERVICIOS PROFESIONALES PARA APOYAR LOS PROCESOS DE FORMULACIÓN, EJECUCIÓN, Y ACOMPAÑAMIENTO A PROYECTOS, ORIENTADOS A LA IMPLEMENTACIÓN DE ACCIONES Y ESTRATEGIAS QUE PROMUEVAN LA DINAMIZACIÓN, REACTIVACIÓN Y CONSOLIDACIÓN DE UNIDADES PRODUCTIVAS NUEVAS Y EXISTENTES, CONTRIBUYENDO AL FORTALECIMIENTO DEL TEJIDO EMPRESARIAL Y AL DESARROLLO ECONÓMICO DEL MUNICIPIO, EN EL MARCO DEL PROYECTO: FORTALECIMIENTO A LAS ACCIONES OPERATIVAS Y DE GESTIÓN DIRIGIDAS A LOS PROGRAMAS DEL INSTITUTO MUNICI","Presentación de oferta",,,,,,,,"$38,400,000","Contratación directa","Servicios profesionales y apoyo a la gestión","8","Mes(es)",,,,"Bucaramanga","IMEBU","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9710672","700,674,062"
"INSTITUTO COLOMBIANO PARA LA EVALUACIÓN DE LA EDUCACIÓN - ICFES","860024301","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.7225801","ICFES-CD-1038-2024","702412826","CO1.BDOS.7090631","RODRIGO ALFONSO QUINTERO SANCHEZ","Apoyar a la Dirección General del Instituto Colombiano para la Evaluación de la Educación- Icfes, en el análisis, conceptualización y seguimiento de temas jurídicos que sean asignados para su revisión y que permitan el cumplimiento de los fines institucionales, en especial los relacionados con los compromisos y decisiones de la Junta Directiva.",,,,,,,,,"$17,498,285","Contratación régimen especial","Regla aplicable","35","día(s)",,,,"Bogotá","CONTRATOS","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","702,412,826"
"INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR REGIONAL BOLIVAR","899999239","Bolívar","Cartagena","Nacional","Descentralizada","CO1.REQ.10057360","ICBF-CPS-274772-2026-BOL","704148527","CO1.BDOS.9888767","CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES","Prestar Servicios En Las Unidades De Servicio De Atencion Directa A La Primera Infancia Que Le Sean Asignadas Por La Direccion Regional Desde Las Actividades Relacionadas Con La Atencion Psicosocial A Los Ninios Y Las Ninias Asi Como Sus Familias Y Cuidadores Participantes Del Servicio Conforme A Los Lineamientos Manuales Protocolos Y Guias Vigentes Aplicables A La Modalidad O Servicio Correspondiente.",,,,,,,,,"$28,675,337","Contratación directa","Servicios profesionales y apoyo a la gestión","308","día(s)",,,,"No Aplica","Regional Bolivar","0","0","0","0","0","0","0","0","0","Aprobado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","704,148,527"
"IDARTES","900413030","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.2856430","1582-2022","702066127","CO1.BDOS.2779443","ANA MILENA HERNANDEZ DIAZ","Prestar servicios de apoyo a la gestión al IDARTES - Subdirección de Formación Artística, para la implementación, muestras, seguimiento y fortalecimiento de los procesos de formación artística, en el marco del Programa Crea, acorde con los requerimientos de la entidad.",,,,,,,,,"$34,440,000","Contratación directa","Servicios profesionales y apoyo a la gestión","303","día(s)",,,,"No Aplica","GERENCIA DE CONTRATACIÓN","0","0","0","0","0","0","0","0","0","Aprobado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","702,066,127"
"ESE HOSPITAL LOCAL SAN CARLOS DE GUAROA-META","900077520","Meta","San Carlos De Guaroa","Territorial","Centralizada","CO1.REQ.10312037","CONTRATO-RE-071-2026","720692318","CO1.BDOS.10140129","CHARLINNE DANIELA CABRERA MONTENEGRO","PRESTAR SERVICIOS DE SALUD COMO PROFESIONAL EN MEDICINA PARA LA OPERACIÓN TERRITORIAL EN EL TERRITORIO RURAL, COMO PARTE DE LOS EQUIPOS BÁSICOS EN SALUD (EBS) FINANCIADOS MEDIANTE LA RESOLUCIÓN 709 DE 2025, PARA LA E.S.E. HOSPITAL LOCAL SAN CARLOS DE GUAROA.",,,,,,,,,"$46,200,000","Contratación régimen especial","Regla aplicable","4","Mes(es)",,,,"San Carlos De Guaroa","OFICINA DE CONTRATACION","0","0","0","0","0","0","0","0","0","En aprobación","0","No","No Adjudicado","736045113","Meta","San Carlos De Guaroa",,"$0","No Adjudicado","CHARLINNE DANIELA CABRERA MONTENEGRO","No Definido","UNSPECIFIED","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","720,692,318"
"SECRETARIA DISTRITAL DEL HABITAT-","899999061","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.5824717","SDHT-SDB-PSP-014-2024","701149171","CO1.BDOS.5708009","SEBASTIAN ANDRES MACIAS LIEVANO","Prestar servicios profesionales para brindar insumos jurídicos y apoyar procesos contractuales en todas sus etapas, para la estructuración y ejecución de los mejoramientos de vivienda - modalidad habitabilidad y demás procesos adelantados por la Subdirección de Barrios de la Secretaría Distrital del Hábitat.",,,,,,,,,"$29,200,000","Contratación directa","Servicios profesionales y apoyo a la gestión","4","Mes(es)",,,,"No Aplica","CONTRATACION","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80121704","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","701,149,171"
"SENA REGIONAL NARIÑO Grupo de Apoyo Administrativo Mixto","899999034","Nariño","Pasto","Nacional","Descentralizada","CO1.REQ.9851217","PSP_NRÑ_9536_00165_2026","704155043","CO1.BDOS.9682872","PSP_NRÑ_9536_00165_2026","Prestar servicios profesionales en el área SEGURIDAD ALIMENTARIA Y NUTRICIONAL y/o apoyo a la gestión para la planeación, ejecución y evaluación de procesos formativos, orientados al desarrollo de competencias técnicas en población campesina, en línea con los lineamientos de la Dirección del Sistema Nacional de Formación para el Trabajo y CampeSENA, en municipios de cobertura del Centro Internacional de Producción Limpia Lope, vigencia 2026.","Presentación de oferta",,,,,,,,"$170,549,892","Contratación directa","Servicios profesionales y apoyo a la gestión","270","día(s)",,,,"Pasto","Centro Internacional de Producción Limpia Lope","0","0","0","0","0","0","0","0","4","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9707696","704,155,043"
